rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x00081128	0xb4	buka21	0x0008d93c	?DecodePacket@@YIHPAEH@Z	SOURCE/REMOTE	0.347008	0.055262		shape=0.038;size=0.669;calls=1.000;alternate=pol20:void heroWindow::DrawWindow(int, int, int)@0x000cf710:0.323150
0x000811dc	0x4c	pol20	0x000c7e10	void icon::ClipFillToBuffer(int, int, int, int, int, int, int, int, int)	BASE/ICON	0.320391	0.053992		shape=0.034;size=0.803;calls=0.500;alternate=buka21:__setmode_lk@0x000e4185:0.315930
0x00081228	0x668	buka21	0x000334da	?DrawCursor@advManager@@QAEXXZ	SOURCE/CURSOR	0.367072	0.001112		shape=0.037;size=0.915;calls=0.857;alternate=pol20:void game::SetupTowns(void)@0x00081c47:0.334173
0x00081890	0x10	buka21	0x000035d2	?Reseed@advManager@@QAEXHH@Z	SOURCE/ADVMGR	0.312490	0.169265		shape=0.000;size=0.696;calls=1.000;alternate=pol20:int searchArray::QuickDistance(int, int, int, int)@0x000a4b60:0.220034
0x000818a0	0x80	buka21	0x000d69c0	_strlen	(libcmt)	0.624062	0.199108		shape=0.559;size=0.961;calls=1.000;alternate=pol20:int army::LeaveNoBody(void)@0x00051700:0.342974
0x00081920	0x20	buka21	0x000e36e5	__copysign	(libcmt)	0.465705	0.017800		shape=0.217;size=0.970;calls=1.000;alternate=pol20:int CheckMem(void)@0x000a0b44:0.456548
0x00081940	0x40	pol20	0x000d25b0	void * palette::scalar_dtor(unsigned int);   // virtual [introduces virtual]	BASE/PALETTE	0.467257	0.000000		shape=0.207;size=0.985;calls=1.000;alternate=buka21:??0armyGroup@@QAE@XZ@0x00021710:0.418069
0x00081980	0x60	buka21	0x000d91d5	__fclose_lk	(libcmt)	0.447163	0.021000		shape=0.220;size=0.792;calls=1.000;alternate=pol20:void border::constructor(short int, short int, short int, short int, short int, short int, short int, char *)@0x000d2130:0.442128
0x000819e0	0x70	pol20	0x0008c920	int GetMapHeader(char *, struct SMapHeader *)	SOURCE/REQUEST	0.429833	0.015253		shape=0.220;size=0.875;calls=0.800;alternate=buka21:?GetMapHeader@@YIHPADPAUSMapHeader@@@Z@0x0008e730:0.426170
0x00081a50	0x40	pol20	0x000c68c0	long int FileSize(char *)	BASE/Misc	0.455649	0.035005		shape=0.323;size=0.780;calls=0.500;alternate=buka21:?IsCDDrive@@YIHH@Z@0x000bf2b0:0.432710
0x00081a90	0x20	pol20	0x000c5eb0	void BlitBitmapToScreenNoMouseCheck(class bitmap *, int, int, int, int, int, int)	BASE/Misc	0.495190	0.047278		shape=0.308;size=0.865;calls=1.000;alternate=buka21:_strtol@0x000e241a:0.408586
